community,plot,number,species,family,dbh,height,ba
MDF,16,683,Shorea_obtusa,Dipterocarpaceae ,15.29,17,183.6136028
DDF,6,3171,Wendlandia_tinctoria,Rubiaceae,13.54,7,143.9883019
DEF,11,1662,Mangifera_pentandra,Anacardiaceae,1.91,2,2.86521104
DEF,7,337,Aphanamixis_polystachya,Meliaceae,1.27,2,1.266768698
MDF,16,584,Antidesma_acidum,Phyllanthaceae,3.82,4.5,11.46084416
DEF,11,1815,Rothmannia_sootepensis,Rubiaceae,9.55,6,71.630276
DEF,7,53,Colona_flagrocarpa,Tiliaceae,0.96,2,0.723822947
DEF,8,482,Vitex_peduncularis,Verbenaceae,1.27,2.5,1.266768698
DDF,3,1753,Tristaniopsis_burmanica,Myrtaceae,2.55,3,5.107051557
DDF,3,1857,Catunaregam_spathulifolia,Rubiaceae,2.55,2.5,5.107051557
DDF,1,433,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.18,2,7.942260388
MDF,17,899,Shorea_siamensis,Dipterocarpaceae ,14.01,7,154.1580301
DDF,3,1742,Shorea_obtusa,Dipterocarpaceae ,3.5,5,9.621127502
DDF,1,22,Shorea_obtusa,Dipterocarpaceae ,12.1,10,114.9901451
DEF,8,431,Colona_elobata,Tiliaceae,2.87,3,6.469246132
DDF,6,3450,Aporosa_villosa,Phyllanthaceae,1.91,2,2.86521104
DEF,12,2122,Ixora_cibdela,Rubiaceae,1.59,3,1.985565097
DDF,1,196,Tristaniopsis_burmanica,Myrtaceae,4.78,3,17.9450914
DEF,8,497,Xylia_xylocarpa,Fabaceae,4.78,5,17.9450914
DDF,3,1780,Buchanania_lanzan,Anacardiaceae,1.59,1.5,1.985565097
DDF,2,800,Tristaniopsis_burmanica,Myrtaceae,3.18,4,7.942260388
DDF,2,668,Dipterocarpus_tuberculatus,Dipterocarpaceae ,2.87,1.7,6.469246132
DEF,11,1478,Syzygium_albiflorum,Myrtaceae,1.91,4,2.86521104
DDF,1,106,Tristaniopsis_burmanica,Myrtaceae,9.87,9,76.51105434
DDF,1,328,Tristaniopsis_burmanica,Myrtaceae,2.55,3.5,5.107051557
DEF,11,1473,Canthium_berberidifolium,Rubiaceae,0.96,3,0.723822947
DDF,4,2366,Shorea_obtusa,Dipterocarpaceae ,5.1,9,20.42820623
DEF,11,1546,Lindera_metcalfiana,Lauraceae,1.59,3,1.985565097
DDF,4,2490,Shorea_siamensis,Dipterocarpaceae ,2.23,2.5,3.905706527
DEF,11,1813,Glochidion_sphaerogynum,Phyllanthaceae,0.96,1.8,0.723822947
DDF,1,170,Dipterocarpus_tuberculatus,Dipterocarpaceae ,5.41,5,22.98711199
DDF,6,3351,Vaccinium_sprengelii,Ericaceae,1.27,2.5,1.266768698
DEF,12,1954,Phoebe_paniculata,Lauraceae,1.91,2.5,2.86521104
DEF,7,124,Xylia_xylocarpa,Fabaceae,28.98,18,659.6091077
DDF,3,1765,Gardenia_sootepensis,Rubiaceae,4.46,7,15.62282611
DDF,4,2280,Dipterocarpus_tuberculatus,Dipterocarpaceae ,5.1,4,20.42820623
DDF,4,2442,Dalbergia_dongnaiensis,Fabacese,3.82,3,11.46084416
DDF,5,2838,Wendlandia_tinctoria,Rubiaceae,2.87,4,6.469246132
MDF,14,238,Alangium_salviifolium,Cornaceae,8.92,8,62.49130443
DEF,11,1705,Castanopsis_calathiformis,Fagaceae,1.59,2.5,1.985565097
DEF,10,1397,Castanopsis_acuminatissima,Fagaceae,4.46,6,15.62282611
DDF,3,1856,Ochna_integerrima,Ochnaceae,2.23,2,3.905706527
DDF,6,3018,Rapanea_yunnanensis,Primulaceae,0.96,2,0.723822947
DDF,3,1900,Garcinia_cowa,Clusiaceae,3.18,3,7.942260388
DEF,10,1119,Lindera_metcalfiana,Lauraceae,0.96,2.5,0.723822947
DEF,12,1940,Engelhardia_spicata,Juglandaceae,10.19,8,81.55268223
DEF,9,846,Styrax_benzoides,Styracaceae,18.15,9,258.7278265
DDF,5,2730,Aporosa_villosa,Phyllanthaceae,3.82,5,11.46084416
MDF,15,449,Lagerstroemia_duperreana,Lythraceae,12.9,15,130.6981084
DDF,3,1605,Gluta_usitata,Anacardiaceae,4.46,5,15.62282611
DEF,8,536,Styrax_benzoides,Styracaceae,2.23,4,3.905706527
DEF,11,1521,Garcinia_merguensis,Clusiaceae,1.27,3,1.266768698
DEF,10,1097,Garcinia_cowa,Clusiaceae,0.64,2,0.321699088
DDF,2,762,Tristaniopsis_burmanica,Myrtaceae,2.55,2,5.107051557
DEF,9,713,Schima_wallichii,Theaceae,68.79,25,3716.554453
DDF,4,2038,Gluta_usitata,Anacardiaceae,0.96,1.5,0.723822947
DDF,4,2328,Shorea_obtusa,Dipterocarpaceae ,2.87,2,6.469246132
MDF,16,632,Antidesma_acidum,Phyllanthaceae,1.43,4,1.606060704
DEF,7,72,Styrax_benzoides,Styracaceae,2.55,4,5.107051557
DDF,5,2926,Semecarpus_cochinchinensis,Anacardiaceae,2.23,3,3.905706527
MDF,15,421,Lagerstroemia_duperreana,Lythraceae,13.22,18,137.2627804
DDF,6,2981,Styrax_benzoides,Styracaceae,2.55,4,5.107051557
DDF,3,1257,Quercus_kerrii,Fagaceae,5.41,6,22.98711199
MDF,16,696,Cratoxylum_formosum,Hypericaceae ,19.43,18,296.5073631
DEF,7,131,Colona_flagrocarpa,Tiliaceae,2.23,2,3.905706527
